area,pre,shock,post,class
BR.BA,5.710235104162565,2.3628559051707168,2.6910303364444275,Relative persistent decline
BR.CE,2.8993181968623816,-7.0497120540146945,1.8534454226517507,Relative persistent decline
BR.DF,-5.716187830718196,-6.1121887948944575,-3.2330513500380698,"Temporary decline, rebounded"
BR.ES,6.758624927037571,2.3808792356609625,8.601886270775092,"Temporary decline, rebounded"
BR.GO,8.140127888274293,-8.434349378211918,3.824879369189126,Relative persistent decline
BR.MA,19.975899147200597,7.763255469039674,14.831294030404154,Relative persistent decline
BR.MG,-1.5286193698472954,-6.513333176148823,-2.128540253643406,Relative persistent decline
BR.MS,19.581090050888708,-0.5531381370307544,17.393121419967056,Relative persistent decline
BR.MT,13.32832738877417,0.5631687629059507,3.8170327263625565,Relative persistent decline
BR.PA,11.245595779250417,5.613669970973218,5.598456773219905,Relative persistent decline
BR.PB,-5.927151176815189,-8.011992143078672,-10.797523461640074,Relative persistent decline
BR.PE,4.336703617980265,5.816786453892069,4.304218946684533,Improvement then reversal
BR.PI,7.3135470703291094,-4.996173143974827,6.448961079456869,Relative persistent decline
BR.PR,1.10408211983767,-3.49128670327047,-2.3772578976684966,Relative persistent decline
BR.RJ,-4.76843031741257,-2.673886159296768,-3.3299785965316233,Relative persistent improvement
BR.RN,4.09982174688057,-1.5597147950089125,-2.9337492572786688,Relative persistent decline
BR.RO,27.493337073923406,47.34184317576098,19.170524150184693,Improvement then reversal
BR.RR,23.9656912209889,12.613521695257317,29.01109989909183,"Temporary decline, rebounded"
BR.RS,-8.024552800607776,-12.086470060087022,-9.870617215737735,Relative persistent decline
BR.SC,4.087319066984911,0.35853676026183423,1.1951225342061145,Relative persistent decline
BR.SE,4.204484783769354,-7.508008542445275,-17.463071720946786,Relative persistent decline
BR.SP,-5.170410226205448,-2.44352823190436,-0.73491565715256,Relative persistent improvement
BR.TO,17.652886607223273,17.562820859227237,19.06391665916119,"Temporary decline, rebounded"
BS.NP,2.656042496679947,19.9203187250996,4.426737494466578,Relative persistent improvement
BT.15,9.930486593843096,35.99801390268123,-31.446540880503147,Improvement then reversal
BW.CE,91.87279151943463,41.224970553592456,13.741656851197485,Relative persistent decline
BW.GA,-7.90273556231003,-9.878419452887538,19.756838905775073,"Temporary decline, rebounded"
BW.LO,43.16546762589928,71.94244604316546,47.96163069544364,Relative persistent improvement
BW.NW,-15.15151515151515,189.3939393939394,-138.88888888888889,Improvement then reversal
BY.BR,3.220611916264089,12.07729468599034,8.051529790660226,Relative persistent improvement
BY.HM,-9.05627381175442,-15.536193866716633,-3.278995690462807,"Temporary decline, rebounded"
BY.HO,-16.979675842552098,-11.577051710830977,-9.861932938856018,Relative persistent improvement
BY.HR,9.953161592505854,1.463700234192037,-1.9516003122560497,Relative persistent decline
BY.MA,-4.801097393689986,-17.146776406035663,-19.433013260173755,Relative persistent decline
BY.MI,22.388059701492534,74.62686567164178,-49.75124378109453,Improvement then reversal
BY.VI,-10.005002501250626,-7.503751875937969,-10.838752709688178,Improvement then reversal
BZ.BZ,21.62162162162162,-67.56756756756756,45.04504504504504,"Temporary decline, rebounded"
BZ.CY,-25.97402597402597,-24.35064935064935,16.233766233766232,Relative persistent improvement
CA.AB,-2.712318956519089,-9.104553800675033,-14.742520170967518,Relative persistent decline
CA.BC,-1.4672489082969433,-0.8384279475982532,4.751091703056768,Relative persistent improvement
CA.MB,-12.930083811204236,-15.57675341861491,-12.544111160123512,"Temporary decline, rebounded"
CA.NB,-9.544787077826726,8.769782998857888,3.1272094414532003,Relative persistent improvement
CA.NL,2.226551628165878,-5.566379070414696,-19.598292977085073,Relative persistent decline
CA.NS,-2.5511717591219227,-0.4449718184514981,3.213685355483042,Relative persistent improvement
CA.NT,23.172905525846705,40.10695187165775,41.592394533571,Relative persistent improvement
CA.NU,-6.7340067340067336,42.08754208754209,2.3684757858670005e-15,Relative persistent improvement
CA.ON,-4.010012925912544,-5.6946653604169075,-5.603091292206333,Relative persistent decline
CA.PE,5.508630187293426,3.6724201248622848,23.870730811604844,"Temporary decline, rebounded"
CA.QC,-5.68343616516374,-0.2966302800189844,1.1469704160734062,Relative persistent improvement
CA.SK,-0.06647610184138805,2.326663564448581,-12.353475592191273,Improvement then reversal
CA.YT,72.21006564551422,-54.704595185995615,61.99854121079505,Relative persistent decline
CD.HK,11.433597185576078,16.490765171503956,-0.7329228965112881,Improvement then reversal
CD.KE,17.391304347826086,21.73913043478261,14.492753623188406,Improvement then reversal
CD.KN,9.472259810554803,10.148849797023004,16.288277452012228,Relative persistent improvement
CD.NK,-16.853932584269664,-18.726591760299627,-53.05867665418227,Relative persistent decline
CD.SK,20.59732234809475,18.022657054582908,56.64263645726056,"Temporary decline, rebounded"
CD.TO,2.610966057441253,3.263707571801567,-17.40644038294169,Improvement then reversal
CF.BGF,7.070707070707071,30.303030303030305,28.619528619528623,Relative persistent improvement
CG.BZV,18.675352877307272,20.62975027144408,24.249004705030767,Relative persistent improvement
CH.AG,9.924416694051923,3.9434768320736113,3.0671486471683647,Relative persistent decline
CH.BE,7.480977855453015,14.706195784223876,18.116328139985935,Relative persistent improvement
CH.BL,14.566642388929349,6.372906045156591,16.690944403981547,"Temporary decline, rebounded"
CH.BS,7.508507841619101,16.340457712876102,8.942986957643853,Relative persistent improvement
CH.FR,11.128958237723726,4.302432308398348,17.592167661006574,"Temporary decline, rebounded"
CH.GE,-5.197112715158245,6.163242642976124,26.355728299093098,Relative persistent improvement
CH.GR,13.075060532687653,37.530266343825666,41.96933010492332,Relative persistent improvement
CH.JU,32.6508024349751,17.293857221914777,28.5925106068991,Relative persistent decline
CH.LU,33.7520811260784,49.19025276222188,45.91090257807375,Relative persistent improvement
CH.NE,-8.784510577267838,3.1373252061670858,11.055336440779252,Relative persistent improvement
CH.SG,3.8295243977764057,25.633106856084,12.559192917438745,Relative persistent improvement
CH.SH,1.8867924528301898,56.60377358490566,47.16981132075472,Relative persistent improvement
CH.SO,41.301627033792236,-21.90237797246558,18.77346683354192,Relative persistent decline
CH.SZ,109.45273631840796,12.437810945273629,33.16749585406302,Relative persistent decline
CH.TG,26.353276353276357,46.2962962962963,64.1025641025641,Relative persistent improvement
CH.TI,25.415226842046593,16.1631925091963,27.681789469772976,"Temporary decline, rebounded"
CH.VD,1.1772080294760658,3.401672552706814,2.114897542132326,Relative persistent improvement
CH.VS,57.45554035567716,27.359781121751027,51.67958656330749,Relative persistent decline
CH.ZG,44.50724125750618,-105.96962204168139,38.85552808194984,Relative persistent decline
CH.ZH,7.830593570329581,11.478662239857478,3.225632304909979,Improvement then reversal
CI.AB,-5.453741463174962,-10.072225224782589,-8.352577015673367,Relative persistent decline
CI.LC,-5.434782608695652,13.58695652173913,39.85507246376812,Relative persistent improvement
CI.SM,72.55520504731861,67.03470031545741,35.48895899053628,Relative persistent decline
CI.SV,122.0196353436185,80.64516129032258,81.81393174380553,Relative persistent decline
CI.VB,45.85537918871252,33.06878306878307,73.4861845972957,"Temporary decline, rebounded"
CL.AI,104.31654676258992,89.92805755395683,17.98561151079137,Relative persistent decline
CL.AN,0.852514919011082,-11.508951406649615,-11.366865586814436,Relative persistent decline
CL.AP,4.983388704318937,85.8250276854928,41.52823920265781,Relative persistent improvement
CL.AR,11.791518034086405,3.468093539437178,14.36781609195402,"Temporary decline, rebounded"
CL.AT,95.9264126149803,59.13272010512485,39.42181340341656,Relative persistent decline
CL.BI,1.8929282143377175,0.12134155220113563,16.01708489054992,"Temporary decline, rebounded"
CL.CO,7.042253521126762,11.737089201877934,44.60093896713615,Relative persistent improvement
CL.LI,221.05263157894734,271.9298245614035,333.3333333333333,Relative persistent improvement
CL.LL,18.97642323174238,-1.4376078205865461,22.043319915660337,"Temporary decline, rebounded"
CL.LR,-16.2506118453255,-2.2026431718061676,-33.61070321422745,Improvement then reversal
CL.MA,33.76623376623377,6.493506493506491,43.290043290043286,"Temporary decline, rebounded"
CL.ML,24.57782979434877,-0.8359806052499581,18.948893718999056,Relative persistent decline
CL.NB,51.72413793103449,86.20689655172416,402.29885057471273,Relative persistent improvement
CL.RM,-0.921112203956099,-9.09403150515979,-13.27026056546922,Relative persistent decline
CL.TA,13.182674199623353,-28.248587570621467,75.32956685499057,"Temporary decline, rebounded"
CL.VS,9.784735812133073,-8.408757338551858,-12.944390084801043,Relative persistent decline
CM.AD,4.335260115606936,-19.86994219653179,-42.750481695568396,Relative persistent decline
CM.CE,-10.308204914618909,-14.056643065389421,-9.978481188393724,"Temporary decline, rebounded"
CM.EN,35.245335176226675,103.66275051831376,43.76871688551025,Relative persistent improvement
CM.LT,-4.0241448692152915,14.084507042253524,14.084507042253518,Relative persistent improvement
CM.NW,74.1389375364857,109.4570928196147,64.2148277875073,Improvement then reversal
CM.OU,2.566923359002567,-19.710304363769712,-24.752475247524757,Relative persistent decline
CM.SW,1.893939393939394,-14.88095238095238,11.724386724386724,"Temporary decline, rebounded"
CN.AH,1.9273745742697936,16.760839652194278,32.57832297267844,Relative persistent improvement
CN.BJ,-8.414481704964583,-8.402585945256357,-10.802635843145728,Improvement then reversal
CN.CQ,-0.05854987917434036,6.6267817792776,15.77298260181469,Relative persistent improvement
CN.FJ,11.445797897110365,15.578662287689026,36.47786410463796,Relative persistent improvement
CN.GD,22.328413752273015,40.04552466440269,28.645972188769235,Relative persistent improvement
CN.GS,-11.482219445476343,1.801132462035505,15.53476748505623,Relative persistent improvement
